SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-6132,1,202307,SAN_FRANCISCO,V2V Lateral,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,07/21/2023,Leavenworth Street at Golden Gate Ave,94102
30270-6131,1,202307,PHOENIX,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,07/13/2023,East Taylor Street at North Papago Street,85008
30270-5997,1,202307,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,07/27/2023,E. Rio Salado Parkway near Clubview Avenue,85281
30270-5896,1,202307,PHOENIX,V2V Head-on,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,07/11/2023,N. San Marcos Place at W. Commonwealth Avenue,85225
30270-5961,1,202306,SAN_FRANCISCO,V2V F2R,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,06/29/2023,Jersey Street at Church Street,94114
30270-5960,1,202306,SAN_FRANCISCO,V2V Backing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,06/28/2023,Great Highway near Kirkham Street,94122
30270-5959,1,202306,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,06/18/2023,Market Street at Diamond St,94114
30270-5958,1,202306,SAN_FRANCISCO,V2V F2R,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,06/11/2023,Santiago Street near 42nd Avenue.,94116
30270-5957,1,202306,SAN_FRANCISCO,V2V Backing,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,06/05/2023,3911 3rd Street,94124
30270-5760,1,202305,PHOENIX,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,05/13/2023,W Taylor Street just west of N 7th Avenue,85007
